date,favorites,id,isRetweet,retweets,text
25/03/2020 13:22,0,1242773907452630000,TRUE,11664,RT @BreitbartNews: “We should never be reliant on a foreign country for the means of our own survival.” https://t.co/1LEJwvNK3X
25/03/2020 13:22,0,1242773795498310000,TRUE,4585,RT @BreitbartNews: The Establishment Media's Trump Derangement Syndrome hits a new low. https://t.co/lZYxxvprqX
25/03/2020 13:20,0,1242773445106110000,TRUE,6662,"RT @BreitbartNews: ""This crisis has underscored just how critical it is to have strong borders and a robust manufacturing sector."" https://…"
25/03/2020 13:17,0,1242772572489560000,TRUE,5013,RT @LouDobbs: <U+2066>Real leadership: @realDonaldTrump<U+2069> says there's 'light at the end of the tunnel' as White House pitches $6T coronavirus stim…
25/03/2020 13:15,0,1242772199322370000,TRUE,4955,RT @Scavino45: <U+0001F6A8>BREAKING NEWS<U+0001F6A8>https://t.co/iQdScq4OLS
25/03/2020 12:55,0,1242767118115970000,TRUE,4359,"RT @thehill: #BREAKING: Overnight White House, Senate reach deal on $2 trillion stimulus package https://t.co/Ey1VPCFXT2 https://t.co/W84VA…"
25/03/2020 12:53,0,1242766575335320000,TRUE,4694,"RT @Uncle_Muscle: BREAKING OVERNIGHT

While you all slept, operation Trumpbux has been initiated. https://t.co/5QVj150IGd"
25/03/2020 12:40,152094,1242763375924390000,FALSE,29423,"I am working very hard to help New York City &amp; State. Dealing with both Mayor &amp; Governor and producing tremendously for them, including four new medical centers and four new hospitals. Fake News that I won’t help them because I don’t like Cuomo (I do). Just sent 4000 ventilators!"
25/03/2020 12:25,0,1242759484210130000,TRUE,8836,"RT @JPN_PMO: After his telephone talks with IOC President Bach, PM Abe spoke to the press and explained that the two have agreed that the T…"
25/03/2020 12:14,101082,1242756708902070000,FALSE,18747,“President Trump’s decision to very early on restrict travel from China saved tens of thousands of lives.”  @LouDobbs @FoxBusiness
25/03/2020 00:32,129838,1242580148702130000,FALSE,33384,"TOGETHER, WE WILL PREVAIL! https://t.co/uQBlz594dR"
24/03/2020 23:44,0,1242567884813010000,TRUE,7524,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/wSJapMcrkl
24/03/2020 23:42,0,1242567522886580000,TRUE,10067,"RT @USNavy: Underway - Steaming to Assist!
#USNSMercy departs Naval Base San Diego in support of the nation's #COVID19 response efforts. 
R…"
24/03/2020 23:42,0,1242567486874230000,TRUE,7251,"RT @USNavy: USNS Mercy is underway.

Check out this infographic to learn about the capabilities of #USNavy Hospital Ships, #USNSComfort and…"
24/03/2020 21:50,83047,1242539178786720000,FALSE,21008,https://t.co/ytgBP3hJv1
24/03/2020 21:34,0,1242535387349770000,TRUE,9641,RT @WhiteHouse: Small businesses power our economy—and President Trump won't let them weather this alone. https://t.co/8pcLgtTxfs
24/03/2020 21:31,54593,1242534510320920000,FALSE,14451,https://t.co/mDc66ML7rF
24/03/2020 21:08,96546,1242528658767650000,FALSE,18832,"Price transparency is so important for the people of our Country. In many ways, it will prove to be as important as healthcare itself. A great issue for both Republicans and Democrats. Hopefully it will be approved!"
24/03/2020 18:04,71631,1242482460140730000,FALSE,13093,Will be doing a Town Hall on @FoxNews at 12:05 P.M. (Now). I will go on around 1:00 P.M. Enjoy!
24/03/2020 16:16,259759,1242455267603870000,FALSE,50234,"Our people want to return to work. They will practice Social Distancing and all else, and Seniors will be watched over protectively &amp; lovingly. We can do two things together. THE CURE CANNOT BE WORSE (by far) THAN THE PROBLEM! Congress MUST ACT NOW. We will come back strong!"
24/03/2020 14:45,179401,1242432301885190000,FALSE,37034,"Congress must approve the deal, without all of the nonsense, today. The longer it takes, the harder it will be to start up our economy. Our workers will be hurt!"
24/03/2020 14:04,196797,1242422012682910000,FALSE,41561,This is not about the ridiculous Green New Deal. It is about putting our great workers and companies BACK TO WORK!
